what,kind,bundleId,bundleVersion,description,time
ws,sysinfo,,,"cocoa",1393494487261
locale,sysinfo,,,"sv_SE",1393494487261
processors,sysinfo,,,"8",1393494487261
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1393494487261
java.runtime.version,sysinfo,,,"1.6.0_65-b14-462-11M4609",1393494487261
java.specification.name,sysinfo,,,"Java Platform API Specification",1393494487261
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1393494487261
java.specification.version,sysinfo,,,"1.6",1393494487261
java.vendor,sysinfo,,,"Apple Inc.",1393494487261
java.version,sysinfo,,,"1.6.0_65",1393494487261
java.vm.info,sysinfo,,,"mixed mode",1393494487261
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1393494487261
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1393494487261
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1393494487261
java.vm.specification.version,sysinfo,,,"1.0",1393494487261
java.vm.vendor,sysinfo,,,"Apple Inc.",1393494487261
java.vm.version,sysinfo,,,"20.65-b04-462",1393494487261
started,bundle,org.eclipse.ltk.core.refactoring,3.5.101.r362_v20101117-0800,"org.eclipse.ltk.core.refactoring",1393494501273
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1393494501348
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1393494501351
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1393494503311
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1393494504894
executed,command,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit.junitShortcut.run",1393494504967
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1393494504996
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1393494505045
started,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1393494505366
opened,view,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit.ResultView",1393494505378
activated,view,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit.ResultView",1393494505671
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1393494508491
